drugId	targetId
iIf9C2-GCV6	r4c1kU8JgAG
iIf9C2-GCV6	bLSYZdzTG66
iIf9C2-GCV6	dduKFb0LSt4
iIf9C2-GCV6	zv_C0_pvfv-
iIf9C2-GCV6	wTLZM5eaMWH
iIf9C2-GCV6	wm0OEo6PEvB
iIf9C2-GCV6	1Ja1Uz0IcjD
iIf9C2-GCV6	QiUt546ZCT8
iIf9C2-GCV6	REmVpuZNJTA
iIf9C2-GCV6	b6v-QjYJyY8
iIf9C2-GCV6	-Z5R8XsJPUG
iIf9C2-GCV6	56-7suvkfe4
iIf9C2-GCV6	e6flLvFa42B
iIf9C2-GCV6	I9WYexGEXV-
iIf9C2-GCV6	IyLNLpErY5F
iIf9C2-GCV6	NriXzR952y6
iIf9C2-GCV6	2sOSh1Vd3-C
iIf9C2-GCV6	d4HK8asB24A
iIf9C2-GCV6	-VW30v7sLkC
qU9iIJSPED_	l5GnzRoHcg4
qU9iIJSPED_	iznsaL-voQ_
qU9iIJSPED_	oWxxabsjtFF
qU9iIJSPED_	p0qM8LDpXgD
qU9iIJSPED_	ORwHgsvtYg6
qU9iIJSPED_	Vyrk96HYG26
qU9iIJSPED_	oZabPCDD1O9
qU9iIJSPED_	b6v-QjYJyY8
qU9iIJSPED_	sOM7VDl-53-
qU9iIJSPED_	LOaigUReTj9
Y-_4VaTKcb9	l5GnzRoHcg4
Y-_4VaTKcb9	yYSrVknZJg6
Y-_4VaTKcb9	iznsaL-voQ_
Y-_4VaTKcb9	oWxxabsjtFF
Y-_4VaTKcb9	Vyrk96HYG26
Y-_4VaTKcb9	b6v-QjYJyY8
Y-_4VaTKcb9	LOaigUReTj9
_-jab697cRD	HMIMz3l1YZ8
_-jab697cRD	78YglKTHU2D
_-jab697cRD	awmZz65nqM7
_-jab697cRD	zv_C0_pvfv-
_-jab697cRD	b6v-QjYJyY8
_-jab697cRD	hdNh-24EMOH
_-jab697cRD	A18R19mejv9
mZDsk3RH0DF	cqvNGvG8RI9
mZDsk3RH0DF	HMIMz3l1YZ8
mZDsk3RH0DF	OTE442Gh9AF
mZDsk3RH0DF	hMjFn1lDRPF
mZDsk3RH0DF	2fRwapXZwq_
mZDsk3RH0DF	ZE7xADhwla-
mZDsk3RH0DF	zf0uZu6PkK_
mZDsk3RH0DF	zv_C0_pvfv-
mZDsk3RH0DF	b6v-QjYJyY8
mZDsk3RH0DF	7XY4b1wYQI6
qggcVMpu_mC	HMIMz3l1YZ8
qggcVMpu_mC	OTE442Gh9AF
qggcVMpu_mC	WIKswV2HgL6
qggcVMpu_mC	gZkhLag-kq4
qggcVMpu_mC	p9muWuJMoX4
qggcVMpu_mC	U_S89_fl2BD
qggcVMpu_mC	JiULTqkbDy6
qggcVMpu_mC	9zV7wTKQpRH
qggcVMpu_mC	-ucvKv_6u5D
qggcVMpu_mC	ml3GE3xUM8D
qggcVMpu_mC	r4c1kU8JgAG
qggcVMpu_mC	HDhm6-b5VCA
qggcVMpu_mC	bLSYZdzTG66
qggcVMpu_mC	dduKFb0LSt4
qggcVMpu_mC	crsn14y8PXC
qggcVMpu_mC	zv_C0_pvfv-
qggcVMpu_mC	_WG5LCV_N1H
qggcVMpu_mC	_Uq0CRQ4-WH
qggcVMpu_mC	wTLZM5eaMWH
qggcVMpu_mC	HJ5wt4-gvU9
qggcVMpu_mC	wm0OEo6PEvB
qggcVMpu_mC	S7wSfVmL4X-
qggcVMpu_mC	1Ja1Uz0IcjD
qggcVMpu_mC	s1MRwJP4qQE
qggcVMpu_mC	QiUt546ZCT8
qggcVMpu_mC	REmVpuZNJTA
qggcVMpu_mC	b6v-QjYJyY8
qggcVMpu_mC	-Z5R8XsJPUG
qggcVMpu_mC	56-7suvkfe4
qggcVMpu_mC	aPfspzV4p08
qggcVMpu_mC	e6flLvFa42B
qggcVMpu_mC	I9WYexGEXV-
qggcVMpu_mC	IyLNLpErY5F
qggcVMpu_mC	NriXzR952y6
qggcVMpu_mC	2sOSh1Vd3-C
qggcVMpu_mC	d4HK8asB24A
qggcVMpu_mC	0RX1eWLhFI6
qggcVMpu_mC	-VW30v7sLkC
