drugId	targetId
G19gl-W6BG6	zv_C0_pvfv-
G19gl-W6BG6	b6v-QjYJyY8
G19gl-W6BG6	CbYJdTnXSo_
lxtMsDAGYHD	HMIMz3l1YZ8
lxtMsDAGYHD	PHHua78ojWH
lxtMsDAGYHD	0EI5zSKofS8
lxtMsDAGYHD	dcgws5Sc1f4
lxtMsDAGYHD	VYhs4CcO9q6
lxtMsDAGYHD	e47WD6WA6W_
lxtMsDAGYHD	6NRJyqaT9AE
lxtMsDAGYHD	5GwZsO16huB
lxtMsDAGYHD	m_bAUAGUpEF
lxtMsDAGYHD	zv_C0_pvfv-
lxtMsDAGYHD	b6v-QjYJyY8
lxtMsDAGYHD	CbYJdTnXSo_
QO669wie9tB	syy5IeLvc1C
QO669wie9tB	0EI5zSKofS8
QO669wie9tB	OxkA7tU1buH
QO669wie9tB	AfFjgM_UF_H
QO669wie9tB	b6v-QjYJyY8
QO669wie9tB	w52efho-fXC
QO669wie9tB	9Da8LVseTH6
QO669wie9tB	LOaigUReTj9
ZlWQu0ymdS7	0EI5zSKofS8
ZlWQu0ymdS7	AfFjgM_UF_H
ZlWQu0ymdS7	b6v-QjYJyY8
hG1p-_kR_R6	0EI5zSKofS8
hG1p-_kR_R6	AfFjgM_UF_H
hG1p-_kR_R6	b6v-QjYJyY8
JnhkTW9I6N9	0EI5zSKofS8
JnhkTW9I6N9	AfFjgM_UF_H
JnhkTW9I6N9	b6v-QjYJyY8
tcVS9cK2gfF	0EI5zSKofS8
tcVS9cK2gfF	AfFjgM_UF_H
tcVS9cK2gfF	b6v-QjYJyY8
FNdBLxNy_x_	PcFcnzJwFu5
FNdBLxNy_x_	XmoPG8R1KWG
FNdBLxNy_x_	OxkA7tU1buH
FNdBLxNy_x_	b6v-QjYJyY8
FNdBLxNy_x_	LOaigUReTj9
yV11VM_sNF4	HMIMz3l1YZ8
yV11VM_sNF4	OTE442Gh9AF
yV11VM_sNF4	N-_62ZUjb9_
yV11VM_sNF4	xBuCcpcJ4BG
yV11VM_sNF4	zv_C0_pvfv-
yV11VM_sNF4	b6v-QjYJyY8
yV11VM_sNF4	ymor8d-W80B
17laMKO0DOB	HMIMz3l1YZ8
17laMKO0DOB	dcgws5Sc1f4
17laMKO0DOB	3BK8Y12HEOH
17laMKO0DOB	dSX_tv_pw99
17laMKO0DOB	gxo0k68dv4-
17laMKO0DOB	zv_C0_pvfv-
17laMKO0DOB	b6v-QjYJyY8
17laMKO0DOB	0REFmp40frF
PxlN2O2Vrt9	HMIMz3l1YZ8
PxlN2O2Vrt9	ee_QmAatLC5
PxlN2O2Vrt9	SYOEJYHNhY9
PxlN2O2Vrt9	dcgws5Sc1f4
PxlN2O2Vrt9	GLtvP5kjaR_
PxlN2O2Vrt9	S5StS36MNwH
PxlN2O2Vrt9	zv_C0_pvfv-
PxlN2O2Vrt9	b6v-QjYJyY8
s7t1TNI9oX8	HMIMz3l1YZ8
s7t1TNI9oX8	OTE442Gh9AF
s7t1TNI9oX8	N-_62ZUjb9_
s7t1TNI9oX8	xBuCcpcJ4BG
s7t1TNI9oX8	zv_C0_pvfv-
s7t1TNI9oX8	b6v-QjYJyY8
s7t1TNI9oX8	ymor8d-W80B
P_Hm3HEuZG6	HMIMz3l1YZ8
P_Hm3HEuZG6	OTE442Gh9AF
P_Hm3HEuZG6	zVVZLGQKAeA
P_Hm3HEuZG6	-OA95laCPuG
P_Hm3HEuZG6	zv_C0_pvfv-
P_Hm3HEuZG6	b6v-QjYJyY8
P_Hm3HEuZG6	Z6HFeis3IaA
OfQPp7-UKxC	4_tbJKJ4orF
OfQPp7-UKxC	HMIMz3l1YZ8
OfQPp7-UKxC	OTE442Gh9AF
OfQPp7-UKxC	zVVZLGQKAeA
OfQPp7-UKxC	-OA95laCPuG
OfQPp7-UKxC	labwGkpfgNF
OfQPp7-UKxC	K3ttggJbP_C
OfQPp7-UKxC	LrtpgA0aOf8
OfQPp7-UKxC	b6v-QjYJyY8
OfQPp7-UKxC	Z6HFeis3IaA
OfQPp7-UKxC	mYazSXuXC49
OfQPp7-UKxC	tq8SEgPcit-
OfQPp7-UKxC	zv_C0_pvfv-
GjIFIXUMu8_	D5Yi1ISFOo9
GjIFIXUMu8_	LXYXBRsCnV9
GjIFIXUMu8_	oWxxabsjtFF
GjIFIXUMu8_	b6v-QjYJyY8
GjIFIXUMu8_	4En3L7GwL1_
GjIFIXUMu8_	THD3427liR4
GjIFIXUMu8_	LOaigUReTj9
tGmGpzErmv5	D5Yi1ISFOo9
tGmGpzErmv5	LXYXBRsCnV9
tGmGpzErmv5	oWxxabsjtFF
tGmGpzErmv5	b6v-QjYJyY8
tGmGpzErmv5	4En3L7GwL1_
tGmGpzErmv5	THD3427liR4
tGmGpzErmv5	LOaigUReTj9
1jds9-2xxm5	D5Yi1ISFOo9
1jds9-2xxm5	LXYXBRsCnV9
1jds9-2xxm5	oWxxabsjtFF
1jds9-2xxm5	b6v-QjYJyY8
1jds9-2xxm5	4En3L7GwL1_
1jds9-2xxm5	THD3427liR4
1jds9-2xxm5	LOaigUReTj9
k5qvJHqvqnF	oWxxabsjtFF
k5qvJHqvqnF	b6v-QjYJyY8
k5qvJHqvqnF	THD3427liR4
k5qvJHqvqnF	4En3L7GwL1_
k5qvJHqvqnF	Uh-cXg8c6D5
k5qvJHqvqnF	LOaigUReTj9
GJjuFw_aIg_	D5Yi1ISFOo9
GJjuFw_aIg_	LXYXBRsCnV9
GJjuFw_aIg_	oWxxabsjtFF
GJjuFw_aIg_	b6v-QjYJyY8
GJjuFw_aIg_	4En3L7GwL1_
GJjuFw_aIg_	THD3427liR4
GJjuFw_aIg_	LOaigUReTj9
CWWoFpVHbxB	D5Yi1ISFOo9
CWWoFpVHbxB	LXYXBRsCnV9
CWWoFpVHbxB	oWxxabsjtFF
CWWoFpVHbxB	b6v-QjYJyY8
CWWoFpVHbxB	4En3L7GwL1_
CWWoFpVHbxB	THD3427liR4
CWWoFpVHbxB	LOaigUReTj9
Il2zDYeUk07	D5Yi1ISFOo9
Il2zDYeUk07	oWxxabsjtFF
Il2zDYeUk07	b6v-QjYJyY8
Il2zDYeUk07	THD3427liR4
Il2zDYeUk07	4En3L7GwL1_
Il2zDYeUk07	LOaigUReTj9
liohRVz292G	D5Yi1ISFOo9
liohRVz292G	oWxxabsjtFF
liohRVz292G	b6v-QjYJyY8
liohRVz292G	THD3427liR4
liohRVz292G	4En3L7GwL1_
liohRVz292G	LOaigUReTj9
k0xE61hzlxD	D5Yi1ISFOo9
k0xE61hzlxD	oWxxabsjtFF
k0xE61hzlxD	b6v-QjYJyY8
k0xE61hzlxD	THD3427liR4
k0xE61hzlxD	4En3L7GwL1_
k0xE61hzlxD	LOaigUReTj9
tnIuju3YpmB	D5Yi1ISFOo9
tnIuju3YpmB	oWxxabsjtFF
tnIuju3YpmB	b6v-QjYJyY8
tnIuju3YpmB	THD3427liR4
tnIuju3YpmB	4En3L7GwL1_
tnIuju3YpmB	LOaigUReTj9
JlGkAWcPO07	D5Yi1ISFOo9
JlGkAWcPO07	oWxxabsjtFF
JlGkAWcPO07	b6v-QjYJyY8
JlGkAWcPO07	THD3427liR4
JlGkAWcPO07	4En3L7GwL1_
JlGkAWcPO07	LOaigUReTj9
sdzRT-TZ979	IxfPN8GCk27
sdzRT-TZ979	LXYXBRsCnV9
sdzRT-TZ979	oWxxabsjtFF
sdzRT-TZ979	b6v-QjYJyY8
sdzRT-TZ979	4En3L7GwL1_
sdzRT-TZ979	LOaigUReTj9
l74OaCH0sA7	HMIMz3l1YZ8
l74OaCH0sA7	tq8SEgPcit-
