drugId	indicationId
xK5XPCAkZ3B	rFXaSRNx5OE
xK5XPCAkZ3B	8ZfnOLGTi--
kCd6dhKYNhB	jdBMmEs8G0A
kCd6dhKYNhB	abLQ5ZFM8L7
kCd6dhKYNhB	eOcFiPF8J2B
kCd6dhKYNhB	KNgYqq758c_
kCd6dhKYNhB	Rb7D2-Pob2_
kCd6dhKYNhB	0FUzDe2PG99
kCd6dhKYNhB	RDr-FwfaFAE
kCd6dhKYNhB	Pe1Z_iqLxC-
kCd6dhKYNhB	GL3CQthfmGB
kCd6dhKYNhB	QUrsi8z598G
kCd6dhKYNhB	kjQaDsqUKV5
kCd6dhKYNhB	5Uh69mK28dG
kCd6dhKYNhB	KGkdMqWd3V6
kCd6dhKYNhB	x8xZnmZJTa9
kCd6dhKYNhB	kA9pOvHRmG4
byy0Pbk13y-	w2nEIoPoBDD
byy0Pbk13y-	c2GLJA2R2w-
byy0Pbk13y-	eDMcEq0D9J4
byy0Pbk13y-	3jnvi9kfnxF
byy0Pbk13y-	KNgYqq758c_
byy0Pbk13y-	IbM1tEFf4b5
byy0Pbk13y-	WwQ1o5l2wLC
byy0Pbk13y-	RDr-FwfaFAE
byy0Pbk13y-	XUQ7PeVXI96
byy0Pbk13y-	wk__vxECrRG
byy0Pbk13y-	kjQaDsqUKV5
byy0Pbk13y-	SWIzA8t6mS-
byy0Pbk13y-	rFXaSRNx5OE
D3q_lpLZ_0A	RDr-FwfaFAE
D3q_lpLZ_0A	wk__vxECrRG
D3q_lpLZ_0A	KNgYqq758c_
D3q_lpLZ_0A	kjQaDsqUKV5
D3q_lpLZ_0A	SWIzA8t6mS-
lhjtyl4Pq06	qYLT2rrpRH-
lhjtyl4Pq06	yJwwNPKkybF
lhjtyl4Pq06	70RPo_sRDdD
lhjtyl4Pq06	eDMcEq0D9J4
lhjtyl4Pq06	KNgYqq758c_
lhjtyl4Pq06	IIoH7ATCb85
lhjtyl4Pq06	IbM1tEFf4b5
lhjtyl4Pq06	rW8kYSjKQ35
lhjtyl4Pq06	CtFoMNkaGiB
lhjtyl4Pq06	-gXK3RQQf94
lhjtyl4Pq06	RDr-FwfaFAE
lhjtyl4Pq06	xcL3Y9w8hB7
lhjtyl4Pq06	XUQ7PeVXI96
lhjtyl4Pq06	VEIgSnhlX2D
lhjtyl4Pq06	G8bs0Wkeh7H
fVuL8SG4-SA	jdBMmEs8G0A
fVuL8SG4-SA	c2GLJA2R2w-
fVuL8SG4-SA	lXgIdv3jhSG
fVuL8SG4-SA	KNgYqq758c_
fVuL8SG4-SA	Zy1-G_8lEd5
fVuL8SG4-SA	JVCZXloCjUD
fVuL8SG4-SA	pRfzADQRnpF
fVuL8SG4-SA	3ca1Ep7DjP6
fVuL8SG4-SA	6L9zDx9DME9
fVuL8SG4-SA	rj0EFjI7Z2-
fVuL8SG4-SA	p58k9lPEO2E
fVuL8SG4-SA	RDr-FwfaFAE
fVuL8SG4-SA	_IaoXDpfTDA
fVuL8SG4-SA	9uaxQfbARo5
fVuL8SG4-SA	kjQaDsqUKV5
fVuL8SG4-SA	5Uh69mK28dG
fVuL8SG4-SA	KGkdMqWd3V6
fVuL8SG4-SA	6KRqYUHD3iC
fVuL8SG4-SA	abLQ5ZFM8L7
fVuL8SG4-SA	bVZB_Lw6Tc4
fVuL8SG4-SA	lXJkdEFqhE4
fVuL8SG4-SA	ussPMUHQkM9
fVuL8SG4-SA	0FUzDe2PG99
fVuL8SG4-SA	3VcRE6SxVSC
fVuL8SG4-SA	5HL-Psvop_7
fVuL8SG4-SA	Pe1Z_iqLxC-
fVuL8SG4-SA	7Ir1kFfcowD
fVuL8SG4-SA	QUrsi8z598G
fVuL8SG4-SA	NfdJQxzFltH
fVuL8SG4-SA	9xLp3gDfS8E
byyF1UWyRX-	qYLT2rrpRH-
byyF1UWyRX-	6opDy3dpNT9
byyF1UWyRX-	K6f195Y0WkG
byyF1UWyRX-	k4hmTepfpG5
byyF1UWyRX-	uiN30SvFyNA
byyF1UWyRX-	ISIbsXuZqBD
byyF1UWyRX-	M_ejRBDhEo4
byyF1UWyRX-	RDr-FwfaFAE
byyF1UWyRX-	DVhyegrjdCB
byyF1UWyRX-	iixyAPmp5N4
byyF1UWyRX-	rIaV3XoY_L8
byyF1UWyRX-	RWmgbKoEnT9
byyF1UWyRX-	roN0uO4Y5q-
byyF1UWyRX-	YCPJ3XsmDAC
byyF1UWyRX-	sy0EHBXQLKC
byyF1UWyRX-	P-SiJDxp1P7
byyF1UWyRX-	MQObN_kf3n-
byyF1UWyRX-	xKB3jF95j5E
byyF1UWyRX-	GHgr0ZITX9-
byyF1UWyRX-	H_qs3I8kqsD
byyF1UWyRX-	Rb7D2-Pob2_
byyF1UWyRX-	wbS59YENVI-
byyF1UWyRX-	4c2sC_G8W_4
byyF1UWyRX-	tX4IOc7eQxB
byyF1UWyRX-	QUrsi8z598G
byyF1UWyRX-	1v41LdEJmG-
byyF1UWyRX-	JGC4F9oXkt7
byyF1UWyRX-	OWEH7aNaRE4
byyF1UWyRX-	dfREUqGp-8-
byyF1UWyRX-	eOcFiPF8J2B
byyF1UWyRX-	na1DsuH4AKC
byyF1UWyRX-	rFBb5v9a3m4
byyF1UWyRX-	1S77ZVEn0L6
byyF1UWyRX-	rW8kYSjKQ35
byyF1UWyRX-	WzJ1-khu5pE
byyF1UWyRX-	pfkw1JThF4-
byyF1UWyRX-	3gXOcMIgDBG
byyF1UWyRX-	LbK8CNgV5RB
